Id,SalePrice
1461,116498.49823278713
1462,172219.09637731838
1463,189585.9335355215
1464,199897.77313513088
1465,191410.82049841213
1466,169945.893496459
1467,175812.20819372463
1468,158789.018496459
1469,199003.1620511465
1470,124069.39911169338
1471,176467.655215209
1472,94336.71918005275
1473,90846.6288480215
1474,147901.8124417715
1475,122804.45770544338
1476,326554.6129788809
1477,253989.00946325588
1478,299224.0333890371
1479,294501.6417874746
1480,384440.0802640371
1481,307739.0172757559
1482,220605.57684606838
1483,179432.83221716213
1484,166795.14959997463
1485,185896.332949584
1486,190827.2890042715
1487,318766.0885648184
1488,224846.45477575588
1489,201796.40008825588
1490,237643.33563513088
1491,197866.52655309963
1492,95831.852480834
1493,184011.5350980215
1494,295376.520449584
1495,287288.0612210684
1496,237513.17157263088
1497,184760.55780309963
1498,178213.91034216213
1499,158263.16546911525
1500,155148.94745153713
1501,177204.77118200588
1502,145757.95331091213
1503,1911158051557107.2
1504,249791.59247106838
1505,232137.30340856838
1506,189232.13324255275
1507,248349.33026403713
1508,197379.36200231838
1509,155245.99554724025
1510,149435.63910192775
1511,153919.82269567775
1512,165892.17303747463
1513,142763.36834997463
1514,164830.47918981838
1515,199092.37225622463
1516,156377.89886755275
1517,175771.29046911525
1518,119654.68207067775
1519,215178.75116247463
1520,124358.74676794338
1521,135180.36590856838
1522,171696.27557653713
1523,120679.59637731838
1524,121593.87665075588
1525,118385.22796911525
1526,105441.3788480215
1527,109780.135683959
1528,135949.08661169338
1529,160572.643496459
1530,188776.43500036525
1531,108935.635683959
1532,78683.6933011465
1533,169055.54657263088
1534,112161.47992224025
1535,153417.09002966213
1536,90510.2929105215
1537,94850.86200231838
1538,166176.13812536525
1539,213910.76043981838
1540,98361.77167028713
1541,138166.993105834
1542,148279.19745153713
1543,198329.82660192775
1544,79046.0995511465
1545,113891.50751013088
1546,131624.55707067775
1547,124157.58905309963
1548,140097.13226599025
1549,124284.11078161525
1550,140209.8905667715
1551,98025.3749417715
1552,152134.45917028713
1553,140959.64178747463
1554,110418.71063513088
1555,170492.536074584
1556,56684.705996459
1557,114905.75262731838
1558,102354.8788480215
1559,-1911158051202433.5
1560,133086.79266638088
1561,147894.81659216213
1562,138704.81000036525
1563,123376.63641638088
1564,157985.58929724025
1565,150154.5995511465
1566,244894.920840209
1567,76089.34637731838
1568,245145.03094763088
1569,158555.41424841213
1570,132766.8495511465
1571,115730.24066442775
1572,155543.786074584
1573,243385.5741605215
1574,126869.99652380275
1575,245366.75018591213
1576,218593.52679724025
1577,181177.87518591213
1578,147636.61566442775
1579,151617.71844763088
1580,186929.48895544338
1581,168139.13812536525
1582,128009.19281286525
1583,285918.7096585684
1584,218842.30731481838
1585,138468.29803747463
1586,80638.37079138088
1587,105173.99750036525
1588,160776.6327542715
1589,92696.4569730215
1590,129241.582949584
1591,93978.08709997463
1592,113854.96429724025
1593,120722.70550817775
1594,6841791970418430.0
1595,135793.55243200588
1596,230471.54925817775
1597,200212.03485388088
1598,224414.98187536525
1599,200645.2831448965
1600,184642.88714880275
1601,75225.82684606838
1602,113502.34588903713
